title,url,summary,published_utc,source,_dt
"Jan 28, 2025, 08:39 ET
			
			
				Norfolk Southern Declares Quarterly Dividend
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) announced today a quarterly dividend of $1.35 per share on its common stock. The dividend is payable Feb....",https://www.prnewswire.com/news-releases/norfolk-southern-declares-quarterly-dividend-302362031.html,,2025-09-16T18:48:30.402512+00:00,prnewswire.com,2025-09-16 18:48:30.402512
"Jan 29, 2025, 08:00 ET
			
			
				Norfolk Southern reports fourth quarter and full year 2024 results
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) announced Wednesday its fourth quarter and full-year 2024 financial results. For the quarter, revenue was $3....",https://www.prnewswire.com/news-releases/norfolk-southern-reports-fourth-quarter-and-full-year-2024-results-302362850.html,,2025-09-16T18:48:30.402502+00:00,prnewswire.com,2025-09-16 18:48:30.402502
"Feb 13, 2025, 15:17 ET
			
			
				Norfolk Southern to present at Barclays 42nd Annual Industrial Select Conference
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) President and CEO Mark George and Executive Vice President and Chief Marketing Officer Ed Elkins will...",https://www.prnewswire.com/news-releases/norfolk-southern-to-present-at-barclays-42nd-annual-industrial-select-conference-302376495.html,,2025-09-16T18:48:30.402493+00:00,prnewswire.com,2025-09-16 18:48:30.402493
"Mar 07, 2025, 14:27 ET
			
			
				Norfolk Southern to present at J.P. Morgan Industrials Conference
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) Executive Vice President and Chief Operating Officer John Orr and Executive Vice President and Chief...",https://www.prnewswire.com/news-releases/norfolk-southern-to-present-at-jp-morgan-industrials-conference-302395986.html,,2025-09-16T18:48:30.402484+00:00,prnewswire.com,2025-09-16 18:48:30.402484
"Mar 31, 2025, 09:03 ET
			
			
				Industry-first program cuts supply chain emissions for freight rail customers
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) today launched RailGreen, a first-of-its-kind solution enabling customers to reduce emissions from their...",https://www.prnewswire.com/news-releases/industry-first-program-cuts-supply-chain-emissions-for-freight-rail-customers-302414945.html,,2025-09-16T18:48:30.402475+00:00,prnewswire.com,2025-09-16 18:48:30.402475
"Apr 02, 2025, 14:52 ET
			
			
				Norfolk Southern to announce first quarter 2025 earnings results April 23, 2025
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) will announce its first quarter 2025 financial results during a live conference call and internet webcast at ...",https://www.prnewswire.com/news-releases/norfolk-southern-to-announce-first-quarter-2025-earnings-results-april-23-2025-302418936.html,,2025-09-16T18:48:30.402463+00:00,prnewswire.com,2025-09-16 18:48:30.402463
"Apr 22, 2025, 12:41 ET
			
			
				Norfolk Southern Declares Quarterly Dividend
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) announced today a quarterly dividend of $1.35 per share on its common stock. The dividend is payable May 20, ...",https://www.prnewswire.com/news-releases/norfolk-southern-declares-quarterly-dividend-302434721.html,,2025-09-16T18:48:30.402451+00:00,prnewswire.com,2025-09-16 18:48:30.402451
"Apr 23, 2025, 08:00 ET
			
			
				Norfolk Southern reports first quarter 2025 results
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) announced Wednesday its first quarter 2025 financial results. For the quarter, revenue was $3.0 billion,...",https://www.prnewswire.com/news-releases/norfolk-southern-reports-first-quarter-2025-results-302435313.html,,2025-09-16T18:48:30.402441+00:00,prnewswire.com,2025-09-16 18:48:30.402441
"May 16, 2025, 15:17 ET
			
			
				Norfolk Southern to present at Wolfe Research 18th Annual Global Transportation & Industrials Conference
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) Executive Vice President and Chief Financial Officer Jason Zampi will participate in a fireside chat at the...",https://www.prnewswire.com/news-releases/norfolk-southern-to-present-at-wolfe-research-18th-annual-global-transportation--industrials-conference-302458091.html,,2025-09-16T18:48:30.402431+00:00,prnewswire.com,2025-09-16 18:48:30.402431
"Jun 03, 2025, 08:00 ET
			
			
				Claude Mongeau resigns as chair of Norfolk Southern Board
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) today announced Chairman Claude Mongeau has resigned from the Board of Directors this week for personal...",https://www.prnewswire.com/news-releases/claude-mongeau-resigns-as-chair-of-norfolk-southern-board-302471556.html,,2025-09-16T18:48:30.402420+00:00,prnewswire.com,2025-09-16 18:48:30.402420
"Jun 04, 2025, 15:31 ET
			
			
				Norfolk Southern to present at 2025 Wells Fargo Industrials and Materials Conference
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) Executive Vice President and Chief Operating Officer John Orr and Executive Vice President and Chief...",https://www.prnewswire.com/news-releases/norfolk-southern-to-present-at-2025-wells-fargo-industrials-and-materials-conference-302473662.html,,2025-09-16T18:48:30.402405+00:00,prnewswire.com,2025-09-16 18:48:30.402405
"Jun 12, 2025, 19:24 ET
			
			
				Norfolk Southern board of directors elects Richard Anderson as chair
			
			
				
				
			
	
Norfolk Southern Corporation's (NYSE: NSC) Board of Directors has unanimously appointed Richard H. Anderson, the former CEO and Executive Chairman of ...",https://www.prnewswire.com/news-releases/norfolk-southern-board-of-directors-elects-richard-anderson-as-chair-302480781.html,,2025-09-16T18:48:30.402392+00:00,prnewswire.com,2025-09-16 18:48:30.402392
"Jun 27, 2025, 08:00 ET
			
			
				Norfolk Southern to announce second quarter 2025 earnings results on July 29, 2025
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) will announce its second quarter 2025 financial results during a live conference call and internet webcast...",https://www.prnewswire.com/news-releases/norfolk-southern-to-announce-second-quarter-2025-earnings-results-on-july-29-2025-302492788.html,,2025-09-16T18:48:30.402382+00:00,prnewswire.com,2025-09-16 18:48:30.402382
"Jul 21, 2025, 15:46 ET
			
			
				Norfolk Southern Declares Quarterly Dividend
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) announced today a quarterly dividend of $1.35 per share on its common stock. The dividend is payable Aug....",https://www.prnewswire.com/news-releases/norfolk-southern-declares-quarterly-dividend-302509924.html,,2025-09-16T18:48:30.402372+00:00,prnewswire.com,2025-09-16 18:48:30.402372
"Jul 24, 2025, 09:04 ET
			
			
				Norfolk Southern and Union Pacific Discussing Possible Merger
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) and Union Pacific Corporation (NYSE: UNP) confirmed today that the companies are engaged in advanced...",https://www.prnewswire.com/news-releases/norfolk-southern-and-union-pacific-discussing-possible-merger-302513158.html,,2025-09-16T18:48:30.402362+00:00,prnewswire.com,2025-09-16 18:48:30.402362
"Jul 29, 2025, 07:08 ET
			
			
				Norfolk Southern reports second quarter 2025 results
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) announced Tuesday its second quarter 2025 financial results. For the quarter, revenue was $3.1 billion,...",https://www.prnewswire.com/news-releases/norfolk-southern-reports-second-quarter-2025-results-302515995.html,,2025-09-16T18:48:30.402351+00:00,prnewswire.com,2025-09-16 18:48:30.402351
"Sep 05, 2025, 08:04 ET
			
			
				Norfolk Southern to present at Morgan Stanley 13th Annual Laguna Conference
			
			
				
				
			
	
Norfolk Southern Corporation (NYSE: NSC) President and CEO Mark George and Executive Vice President and Chief Commercial Officer Ed Elkins will...",https://www.prnewswire.com/news-releases/norfolk-southern-to-present-at-morgan-stanley-13th-annual-laguna-conference-302547441.html,,2025-09-16T18:48:30.402339+00:00,prnewswire.com,2025-09-16 18:48:30.402339
"Sep 15, 2025, 08:00 ET
			
			
				New Union Pacific and Norfolk Southern Intermodal Gateway Expands Market Access
			
			
				
				
			
	
Union Pacific Corporation (NYSE: UNP) and Norfolk Southern Corporation (NYSE: NSC) are launching a new domestic intermodal service to deliver greater ...",https://www.prnewswire.com/news-releases/new-union-pacific-and-norfolk-southern-intermodal-gateway-expands-market-access-302555999.html,,2025-09-16T18:48:30.402314+00:00,prnewswire.com,2025-09-16 18:48:30.402314
